FIPS,STATE,COUNTY,ARC
1007,Alabama,Bibb,TRUE
1009,Alabama,Blount,TRUE
1015,Alabama,Calhoun,TRUE
1017,Alabama,Chambers,TRUE
1019,Alabama,Cherokee,TRUE
1021,Alabama,Chilton,TRUE
1027,Alabama,Clay,TRUE
1029,Alabama,Cleburne,TRUE
1033,Alabama,Colbert,TRUE
1037,Alabama,Coosa,TRUE
1043,Alabama,Cullman,TRUE
1049,Alabama,De Kalb,TRUE
1051,Alabama,Elmore,TRUE
1055,Alabama,Etowah,TRUE
1057,Alabama,Fayette,TRUE
1059,Alabama,Franklin,TRUE
1065,Alabama,Hale,TRUE
1071,Alabama,Jackson,TRUE
1073,Alabama,Jefferson,TRUE
1075,Alabama,Lamar,TRUE
1077,Alabama,Lauderdale,TRUE
1079,Alabama,Lawrence,TRUE
1083,Alabama,Limestone,TRUE
1087,Alabama,Macon,TRUE
1089,Alabama,Madison,TRUE
1093,Alabama,Marion,TRUE
1095,Alabama,Marshall,TRUE
1103,Alabama,Morgan,TRUE
1107,Alabama,Pickens,TRUE
1111,Alabama,Randolph,TRUE
1115,Alabama,St. Clair,TRUE
1117,Alabama,Shelby,TRUE
1121,Alabama,Talladega,TRUE
1123,Alabama,Tallapoosa,TRUE
1125,Alabama,Tuscaloosa,TRUE
1127,Alabama,Walker,TRUE
1133,Alabama,Winston,TRUE
13011,Georgia,Banks,TRUE
13013,Georgia,Barrow,TRUE
13015,Georgia,Bartow,TRUE
13045,Georgia,Carroll,TRUE
13047,Georgia,Catoosa,TRUE
13055,Georgia,Chattooga,TRUE
13057,Georgia,Cherokee,TRUE
13083,Georgia,Dade,TRUE
13085,Georgia,Dawson,TRUE
13097,Georgia,Douglas,TRUE
13105,Georgia,Elbert,TRUE
13111,Georgia,Fannin,TRUE
13115,Georgia,Floyd,TRUE
13117,Georgia,Forsyth,TRUE
13119,Georgia,Franklin,TRUE
13123,Georgia,Gilmer,TRUE
13129,Georgia,Gordon,TRUE
13135,Georgia,Gwinnett,TRUE
13137,Georgia,Habersham,TRUE
13139,Georgia,Hall,TRUE
13143,Georgia,Haralson,TRUE
13147,Georgia,Hart,TRUE
13149,Georgia,Heard,TRUE
13157,Georgia,Jackson,TRUE
13187,Georgia,Lumpkin,TRUE
13195,Georgia,Madison,TRUE
13213,Georgia,Murray,TRUE
13223,Georgia,Paulding,TRUE
13227,Georgia,Pickens,TRUE
13233,Georgia,Polk,TRUE
13241,Georgia,Rabun,TRUE
13257,Georgia,Stephens,TRUE
13281,Georgia,Towns,TRUE
13291,Georgia,Union,TRUE
13295,Georgia,Walker,TRUE
13311,Georgia,White,TRUE
13313,Georgia,Whitfield,TRUE
21001,Kentucky,Adair,TRUE
21011,Kentucky,Bath,TRUE
21013,Kentucky,Bell,TRUE
21019,Kentucky,Boyd,TRUE
21025,Kentucky,Breathitt,TRUE
21043,Kentucky,Carter,TRUE
21045,Kentucky,Casey,TRUE
21049,Kentucky,Clark,TRUE
21051,Kentucky,Clay,TRUE
21053,Kentucky,Clinton,TRUE
21057,Kentucky,Cumberland,TRUE
21061,Kentucky,Edmonson,TRUE
21063,Kentucky,Elliott,TRUE
21065,Kentucky,Estill,TRUE
21069,Kentucky,Fleming,TRUE
21071,Kentucky,Floyd,TRUE
21079,Kentucky,Garrard,TRUE
21087,Kentucky,Green,TRUE
21089,Kentucky,Greenup,TRUE
21095,Kentucky,Harlan,TRUE
21099,Kentucky,Hart,TRUE
21109,Kentucky,Jackson,TRUE
21115,Kentucky,Johnson,TRUE
21119,Kentucky,Knott,TRUE
21121,Kentucky,Knox,TRUE
21125,Kentucky,Laurel,TRUE
21127,Kentucky,Lawrence,TRUE
21129,Kentucky,Lee,TRUE
21131,Kentucky,Leslie,TRUE
21133,Kentucky,Letcher,TRUE
21135,Kentucky,Lewis,TRUE
21137,Kentucky,Lincoln,TRUE
21147,Kentucky,McCreary,TRUE
21151,Kentucky,Madison,TRUE
21153,Kentucky,Magoffin,TRUE
21159,Kentucky,Martin,TRUE
21165,Kentucky,Menifee,TRUE
21169,Kentucky,Metcalfe,TRUE
21171,Kentucky,Monroe,TRUE
21173,Kentucky,Montgomery,TRUE
21175,Kentucky,Morgan,TRUE
21181,Kentucky,Nicholas,TRUE
21189,Kentucky,Owsley,TRUE
21193,Kentucky,Perry,TRUE
21195,Kentucky,Pike,TRUE
21197,Kentucky,Powell,TRUE
21199,Kentucky,Pulaski,TRUE
21201,Kentucky,Robertson,TRUE
21203,Kentucky,Rockcastle,TRUE
21205,Kentucky,Rowan,TRUE
21207,Kentucky,Russell,TRUE
21231,Kentucky,Wayne,TRUE
21235,Kentucky,Whitley,TRUE
21237,Kentucky,Wolfe,TRUE
24001,Maryland,Allegany,TRUE
24023,Maryland,Garrett,TRUE
24043,Maryland,Washington,TRUE
28003,Mississippi,Alcorn,TRUE
28009,Mississippi,Benton,TRUE
28013,Mississippi,Calhoun,TRUE
28017,Mississippi,Chickasaw,TRUE
28019,Mississippi,Choctaw,TRUE
28025,Mississippi,Clay,TRUE
28057,Mississippi,Itawamba,TRUE
28069,Mississippi,Kemper,TRUE
28081,Mississippi,Lee,TRUE
28087,Mississippi,Lowndes,TRUE
28093,Mississippi,Marshall,TRUE
28095,Mississippi,Monroe,TRUE
28097,Mississippi,Montgomery,TRUE
28103,Mississippi,Noxubee,TRUE
28105,Mississippi,Oktibbeha,TRUE
28107,Mississippi,Panola,TRUE
28115,Mississippi,Pontotoc,TRUE
28117,Mississippi,Prentiss,TRUE
28139,Mississippi,Tippah,TRUE
28141,Mississippi,Tishomingo,TRUE
28145,Mississippi,Union,TRUE
28155,Mississippi,Webster,TRUE
28159,Mississippi,Winston,TRUE
28161,Mississippi,Yalobusha,TRUE
36003,New York,Allegany,TRUE
36007,New York,Broome,TRUE
36009,New York,Cattaraugus,TRUE
36013,New York,Chautauqua,TRUE
36015,New York,Chemung,TRUE
36017,New York,Chenango,TRUE
36023,New York,Cortland,TRUE
36025,New York,Delaware,TRUE
36077,New York,Otsego,TRUE
36095,New York,Schoharie,TRUE
36097,New York,Schuyler,TRUE
36101,New York,Steuben,TRUE
36107,New York,Tioga,TRUE
36109,New York,Tompkins,TRUE
37003,North Carolina,Alexander,TRUE
37005,North Carolina,Alleghany,TRUE
37009,North Carolina,Ashe,TRUE
37011,North Carolina,Avery,TRUE
37021,North Carolina,Buncombe,TRUE
37023,North Carolina,Burke,TRUE
37027,North Carolina,Caldwell,TRUE
37035,North Carolina,Catawba,TRUE
37039,North Carolina,Cherokee,TRUE
37043,North Carolina,Clay,TRUE
37045,North Carolina,Cleveland,TRUE
37059,North Carolina,Davie,TRUE
37067,North Carolina,Forsyth,TRUE
37075,North Carolina,Graham,TRUE
37087,North Carolina,Haywood,TRUE
37089,North Carolina,Henderson,TRUE
37099,North Carolina,Jackson,TRUE
37111,North Carolina,McDowell,TRUE
37113,North Carolina,Macon,TRUE
37115,North Carolina,Madison,TRUE
37121,North Carolina,Mitchell,TRUE
37149,North Carolina,Polk,TRUE
37161,North Carolina,Rutherford,TRUE
37169,North Carolina,Stokes,TRUE
37171,North Carolina,Surry,TRUE
37173,North Carolina,Swain,TRUE
37175,North Carolina,Transylvania,TRUE
37189,North Carolina,Watauga,TRUE
37193,North Carolina,Wilkes,TRUE
37197,North Carolina,Yadkin,TRUE
37199,North Carolina,Yancey,TRUE
39001,Ohio,Adams,TRUE
39007,Ohio,Ashtabula,TRUE
39009,Ohio,Athens,TRUE
39013,Ohio,Belmont,TRUE
39015,Ohio,Brown,TRUE
39019,Ohio,Carroll,TRUE
39025,Ohio,Clermont,TRUE
39029,Ohio,Columbiana,TRUE
39031,Ohio,Coshocton,TRUE
39053,Ohio,Gallia,TRUE
39059,Ohio,Guernsey,TRUE
39067,Ohio,Harrison,TRUE
39071,Ohio,Highland,TRUE
39073,Ohio,Hocking,TRUE
39075,Ohio,Holmes,TRUE
39079,Ohio,Jackson,TRUE
39081,Ohio,Jefferson,TRUE
39087,Ohio,Lawrence,TRUE
39099,Ohio,Mahoning,TRUE
39105,Ohio,Meigs,TRUE
39111,Ohio,Monroe,TRUE
39115,Ohio,Morgan,TRUE
39119,Ohio,Muskingum,TRUE
39121,Ohio,Noble,TRUE
39127,Ohio,Perry,TRUE
39131,Ohio,Pike,TRUE
39141,Ohio,Ross,TRUE
