"NAME",">=25",">=25_HS_GRAD_EQUIV",">=25_BACH",">=25_GRAD_PROF","state","county"
"Autauga County, Alabama","37860","11880","6320","4401","01","001"
"Baldwin County, Alabama","155563","42272","31444","18192","01","003"
"Barbour County, Alabama","17797","6361","1296","771","01","005"
"Bibb County, Alabama","15987","7206","1183","631","01","007"
"Blount County, Alabama","39814","13975","3540","1736","01","009"
"Bullock County, Alabama","6784","2809","413","284","01","011"
"Butler County, Alabama","13820","6425","1396","809","01","013"
"Calhoun County, Alabama","78967","27203","8296","6594","01","015"
"Lewis County, Kentucky","9405","4041","495","321","21","135"
"Lincoln County, Kentucky","16956","7283","1179","957","21","137"
"Livingston County, Kentucky","6606","2709","586","372","21","139"
"Logan County, Kentucky","18589","8084","1911","1278","21","141"
"Lyon County, Kentucky","6557","2761","550","468","21","143"
"McCracken County, Kentucky","46066","14820","7426","4361","21","145"
"McCreary County, Kentucky","12211","4813","640","398","21","147"
"Madison County, Kentucky","56538","14987","10795","7362","21","151"
"Marion County, Kentucky","13034","5686","895","969","21","155"
"Marshall County, Kentucky","22834","8100","2669","2076","21","157"
"Mason County, Kentucky","11850","4020","1415","1116","21","161"
"Meade County, Kentucky","19549","7031","2093","1496","21","163"
"Mercer County, Kentucky","15080","5454","1545","1272","21","167"
"Metcalfe County, Kentucky","6997","2812","526","391","21","169"
"Montgomery County, Kentucky","19104","7830","1641","1347","21","173"
"Morgan County, Kentucky","9862","4122","721","754","21","175"
"Nelson County, Kentucky","31363","11264","3659","2398","21","179"
"Nicholas County, Kentucky","4918","2233","195","243","21","181"
"Oldham County, Kentucky","43988","8604","11212","7717","21","185"
"Owen County, Kentucky","7534","3297","936","293","21","187"
"Pendleton County, Kentucky","10091","4171","786","644","21","191"
"Pike County, Kentucky","41689","16593","2981","2820","21","195"
"Powell County, Kentucky","8310","3408","999","463","21","197"
"Robertson County, Kentucky","1519","590","172","38","21","201"
"Rockcastle County, Kentucky","11887","5071","858","672","21","203"
"Russell County, Kentucky","12548","4583","1066","875","21","207"
"Scott County, Kentucky","36663","10863","6697","4434","21","209"
"Simpson County, Kentucky","12312","5721","962","518","21","213"
"Spencer County, Kentucky","13221","4880","1730","1102","21","215"
"Todd County, Kentucky","8138","3265","707","472","21","219"
"Trimble County, Kentucky","5973","2681","577","327","21","223"
"Union County, Kentucky","9455","4425","559","491","21","225"
"Washington County, Kentucky","8281","3527","877","801","21","229"
"Wayne County, Kentucky","14645","6102","1212","741","21","231"
"Whitley County, Kentucky","23113","8782","2309","2304","21","235"
"Wolfe County, Kentucky","5141","1646","140","197","21","237"
"Androscoggin County, Maine","75245","26755","11463","5634","23","001"
"Aroostook County, Maine","50068","18616","6831","3066","23","003"
"Franklin County, Maine","21768","8424","3533","2194","23","007"
"Hancock County, Maine","42028","13271","8952","5834","23","009"
"Knox County, Maine","30210","9628","6566","3768","23","013"
"Lincoln County, Maine","26461","8738","5454","4105","23","015"
"Penobscot County, Maine","108311","36200","19119","11835","23","019"
"Piscataquis County, Maine","12991","5394","1731","699","23","021"
"Somerset County, Maine","37601","15555","5046","1693","23","025"
"Washington County, Maine","23114","8777","3447","2058","23","029"
"York County, Maine","152421","45015","31759","17283","23","031"
"Anoka County, Minnesota","241738","67543","52115","21276","27","003"
"Becker County, Minnesota","23487","6907","4214","1821","27","005"
"Beltrami County, Minnesota","28828","8016","5330","3298","27","007"
"Benton County, Minnesota","26896","7900","4556","1665","27","009"
"Big Stone County, Minnesota","3601","1499","425","229","27","011"
"Blue Earth County, Minnesota","39506","10774","9086","4565","27","013"
"Brown County, Minnesota","17216","6166","2842","1053","27","015"
"Carlton County, Minnesota","25083","7997","3898","1768","27","017"
"Carver County, Minnesota","67783","11776","22831","10458","27","019"
"Cass County, Minnesota","21548","6966","3888","1509","27","021"
"Chippewa County, Minnesota","8241","2690","1237","385","27","023"
"Chisago County, Minnesota","38912","12880","6362","2294","27","025"
"Meigs County, Tennessee","8936","3998","595","319","47","121"
"Montgomery County, Tennessee","127366","34556","24253","13222","47","125"
"Moore County, Tennessee","4673","1968","715","190","47","127"
"Obion County, Tennessee","21387","9580","2125","1188","47","131"
"Overton County, Tennessee","15680","7298","1240","721","47","133"
"Pickett County, Tennessee","3854","1522","323","198","47","137"
"Polk County, Tennessee","12433","4236","944","626","47","139"
"Rhea County, Tennessee","22465","8573","2402","1329","47","143"
"Roane County, Tennessee","39412","14889","4497","3025","47","145"
"Rutherford County, Tennessee","204647","56895","46770","19893","47","149"
"Scott County, Tennessee","15097","6815","792","594","47","151"
"Sequatchie County, Tennessee","10943","4537","1068","536","47","153"
"Shelby County, Tennessee","615616","168163","119097","80192","47","157"
"Smith County, Tennessee","13897","6006","1631","754","47","159"
"Sullivan County, Tennessee","115220","39310","18244","9976","47","163"
"Sumner County, Tennessee","129174","39155","25503","11448","47","165"
"Trousdale County, Tennessee","7791","3419","605","298","47","169"
"Unicoi County, Tennessee","13506","5064","1538","680","47","171"
"Van Buren County, Tennessee","4294","1977","183","186","47","175"
"Warren County, Tennessee","28092","12574","2501","1336","47","177"
"Wayne County, Tennessee","12552","5675","802","528","47","181"
"Weakley County, Tennessee","21552","9507","2501","1778","47","183"
"Williamson County, Tennessee","151799","19770","57841","33939","47","187"
"Wilson County, Tennessee","96648","27184","22634","10957","47","189"
"Box Elder County, Utah","32717","9937","5656","2098","49","003"
"Cache County, Utah","64162","12940","16272","8418","49","005"
"Daggett County, Utah","381","162","39","17","49","009"
"Davis County, Utah","205899","43575","53067","25516","49","011"
"Emery County, Utah","6350","1909","687","315","49","015"
"Garfield County, Utah","3484","1067","648","236","49","017"
"Grand County, Utah","7137","1931","1233","955","49","019"
"Iron County, Utah","29881","6903","6205","2422","49","021"
"Juab County, Utah","6540","2475","762","462","49","023"
"Kane County, Utah","5600","1391","1114","549","49","025"
"Millard County, Utah","7920","2565","1374","398","49","027"
"Morgan County, Utah","6695","1350","1548","1022","49","029"
"Piute County, Utah","1328","405","218","69","49","031"
"Rich County, Utah","1406","397","208","102","49","033"
"Salt Lake County, Utah","726907","162491","170110","95419","49","035"
"San Juan County, Utah","9192","2801","1156","606","49","037"
"Sanpete County, Utah","18205","5758","2541","1236","49","039"
"Sevier County, Utah","13469","4206","1931","884","49","041"
"Summit County, Utah","27924","4476","9841","5829","49","043"
"Tooele County, Utah","40623","12971","6091","3282","49","045"
"Uintah County, Utah","20893","7958","2505","899","49","047"
"Utah County, Utah","310161","51916","88312","39245","49","049"
"Wasatch County, Utah","19926","4099","5742","2958","49","051"
"Washington County, Utah","112121","25232","20939","11788","49","053"
"Wayne County, Utah","1822","346","374","64","49","055"
"Weber County, Utah","158841","46466","27871","12002","49","057"
"Bennington County, Vermont","25445","7146","5594","3942","50","003"
"Caledonia County, Vermont","21560","7508","4194","2418","50","005"
"Essex County, Vermont","4750","2079","467","409","50","009"
"Franklin County, Vermont","34513","12954","5899","3249","50","011"
"Lamoille County, Vermont","17810","4367","4606","2703","50","015"
"Orange County, Vermont","21296","7355","3464","3340","50","017"
"Rutland County, Vermont","42711","14352","8576","5171","50","021"
"Washington County, Vermont","41714","10669","10560","7668","50","023"
"Windsor County, Vermont","41575","12208","9123","6826","50","027"
"Accomack County, Virginia","23813","8771","2697","1996","51","001"
"Watonwan County, Minnesota","7430","2782","964","340","27","165"
"Cass County, Missouri","71534","23707","12888","6424","29","037"
"Christian County, Missouri","58874","16611","11300","6758","29","043"
"Clinton County, Missouri","14184","6149","2152","963","29","049"
"Crawford County, Missouri","16762","6844","1401","593","29","055"
"Daviess County, Missouri","5524","2288","771","376","29","061"
"Douglas County, Missouri","9623","4079","870","385","29","067"
"Gasconade County, Missouri","10664","4092","1467","807","29","073"
"Grundy County, Missouri","6617","2464","819","382","29","079"
"Hickory County, Missouri","7332","3471","417","203","29","085"
"Howell County, Missouri","27506","10984","2788","1977","29","091"
"Jasper County, Missouri","79438","27727","12985","5036","29","097"
"Johnson County, Missouri","31686","9495","5437","3902","29","101"
"Lafayette County, Missouri","22786","9939","2873","1860","29","107"
"Lincoln County, Missouri","38365","15569","5193","1693","29","113"
"McDonald County, Missouri","15147","6480","1253","480","29","119"
"Maries County, Missouri","6341","2489","631","368","29","125"
"Miller County, Missouri","17495","6957","2231","1087","29","131"
"Monroe County, Missouri","6170","2975","648","206","29","137"
"New Madrid County, Missouri","12033","5605","865","580","29","143"
"Oregon County, Missouri","7497","3390","607","509","29","149"
"Pemiscot County, Missouri","10725","4717","775","511","29","155"
"Shannon County, Missouri","5866","2653","511","337","29","203"
"Stone County, Missouri","24716","8230","3366","1529","29","209"
"Texas County, Missouri","18130","7109","1647","1031","29","215"
"Washington County, Missouri","17194","6762","1335","630","29","221"
"Worth County, Missouri","1439","635","175","88","29","227"
"St. Louis city, Missouri","218594","52868","44747","36652","29","510"
"Bay County, Florida","127857","37710","20148","11157","12","005"
"Broward County, Florida","1378777","372575","284566","172135","12","011"
"Citrus County, Florida","118265","44939","13674","8673","12","017"
"Columbia County, Florida","49101","17888","5106","2210","12","023"
"Duval County, Florida","650299","182766","134057","65491","12","031"
"Franklin County, Florida","9302","3362","1103","797","12","037"
"Glades County, Florida","10591","3788","849","365","12","043"
"Hardee County, Florida","17385","8422","1154","432","12","049"
"Highlands County, Florida","80357","29874","9244","4846","12","055"
"Indian River County, Florida","121388","34964","22461","14693","12","061"
"Lafayette County, Florida","6069","2545","272","291","12","067"
"Leon County, Florida","174667","33321","46364","35025","12","073"
"Liberty County, Florida","6009","2705","505","311","12","077"
"Marion County, Florida","268804","98061","36242","19338","12","083"
"Monroe County, Florida","58963","16262","12996","7800","12","087"
"Okeechobee County, Florida","29483","11428","3036","1186","12","093"
"Arthur County, Nebraska","307","82","54","20","31","005"
"Boone County, Nebraska","3629","1364","464","226","31","011"
"Brown County, Nebraska","2119","775","347","166","31","017"
"Butler County, Nebraska","5537","1973","1042","273","31","023"
"Wadena County, Minnesota","9269","3261","1228","336","27","159"
"Chase County, Nebraska","2626","688","416","167","31","029"
"Clay County, Nebraska","4258","1513","594","252","31","035"
"Cuming County, Nebraska","6071","2281","1026","374","31","039"
"Dawes County, Nebraska","5335","1170","1094","945","31","045"
"Dixon County, Nebraska","3819","1261","645","215","31","051"
"Dundy County, Nebraska","1311","312","225","143","31","057"
"Frontier County, Nebraska","1812","504","277","139","31","063"
"Garden County, Nebraska","1452","466","252","84","31","069"
"Grant County, Nebraska","460","173","86","20","31","075"
"Hamilton County, Nebraska","6361","1925","1060","503","31","081"
"Cherokee County, Alabama","19143","7495","1202","1274","01","019"
"Chilton County, Alabama","30153","13070","2471","1636","01","021"
"Choctaw County, Alabama","9263","3346","761","491","01","023"
"Clarke County, Alabama","16703","6942","1401","902","01","025"
"Clay County, Alabama","9371","3751","709","395","01","027"
"Cleburne County, Alabama","10538","4044","1121","567","01","029"
"Coffee County, Alabama","35936","9876","4993","2815","01","031"
"Colbert County, Alabama","39077","14452","4263","2525","01","033"
"Conecuh County, Alabama","8826","4125","727","494","01","035"
"Coosa County, Alabama","8281","3482","659","298","01","037"
"Crenshaw County, Alabama","9684","3697","1271","521","01","041"
"Cullman County, Alabama","58084","18747","5889","3065","01","043"
"Dallas County, Alabama","25611","9277","2634","1629","01","047"
"DeKalb County, Alabama","48306","15809","4166","2587","01","049"
"Escambia County, Alabama","25703","11056","2252","961","01","053"
"Etowah County, Alabama","72188","24104","7764","5011","01","055"
"Franklin County, Alabama","21071","8223","2164","1007","01","059"
"Greene County, Alabama","5768","2301","332","252","01","063"
"Hale County, Alabama","10023","3730","1063","500","01","065"
"Houston County, Alabama","72863","22968","10109","6014","01","069"
"Jackson County, Alabama","37102","14501","3942","2076","01","071"
"Lamar County, Alabama","9810","4026","691","416","01","075"
"Lauderdale County, Alabama","64089","22358","10244","5827","01","077"
"Lee County, Alabama","99315","22153","19926","16253","01","081"
"Lowndes County, Alabama","6892","2840","557","453","01","085"
"Macon County, Alabama","11932","3652","1312","1131","01","087"
"Marengo County, Alabama","13025","4977","1298","931","01","091"
"Marion County, Alabama","21297","7345","1702","1140","01","093"
"Mobile County, Alabama","279795","93840","45286","22951","01","097"
"Monroe County, Alabama","14691","6764","1256","734","01","099"
"Morgan County, Alabama","82684","26213","11982","5632","01","103"
"Pickens County, Alabama","14386","5608","1385","690","01","107"
"Pike County, Alabama","19310","6446","3095","2626","01","109"
"Russell County, Alabama","39280","11666","4416","2455","01","113"
"St. Clair County, Alabama","62328","21716","7745","3550","01","115"
"Sumter County, Alabama","7657","2646","761","649","01","119"
"Tallapoosa County, Alabama","28797","9483","3417","2001","01","123"
"Tuscaloosa County, Alabama","130940","37890","23944","16838","01","125"
"Washington County, Alabama","11148","4925","700","907","01","129"
"Wilcox County, Alabama","7060","2853","557","266","01","131"
"Alameda County, California","1182996","201032","332539","243188","06","001"
"Alpine County, California","875","251","173","163","06","003"
"Butte County, California","146135","32993","26874","14509","06","007"
"Colusa County, California","13721","3909","1577","464","06","011"
"Contra Costa County, California","794560","136954","212718","131526","06","013"
"El Dorado County, California","139093","29309","32856","16163","06","017"
"Fresno County, California","610927","138139","89315","45296","06","019"
"Chambers County, Alabama","23771","8829","2491","942","01","017"
"Humboldt County, California","93120","21408","19270","9500","06","023"
"Imperial County, California","110470","28189","12186","4807","06","025"
"Kern County, California","543837","149716","61882","31238","06","029"
"Kings County, California","93546","24561","9431","4637","06","031"
"Lassen County, California","22325","7127","2033","792","06","035"
"Madera County, California","97992","22864","10572","4340","06","039"
"Marin County, California","190503","19534","65503","49101","06","041"
"Mariposa County, California","13597","3073","2440","1219","06","043"
"Mendocino County, California","62022","16306","9143","5734","06","045"
"Merced County, California","162293","41355","15580","7293","06","047"
"Modoc County, California","6707","2132","821","399","06","049"
"Clay County, Minnesota","38877","8961","9390","3894","27","027"
"Clearwater County, Minnesota","6078","2193","771","298","27","029"
"Cook County, Minnesota","4282","955","1292","642","27","031"
"Cottonwood County, Minnesota","7692","2627","1153","443","27","033"
"Crow Wing County, Minnesota","46445","13736","7792","4358","27","035"
"Dakota County, Minnesota","287958","57136","84286","38302","27","037"
"Dodge County, Minnesota","13776","4308","2851","928","27","039"
"Douglas County, Minnesota","27119","8287","5186","2180","27","041"
"Faribault County, Minnesota","9793","3464","1490","449","27","043"
"Fillmore County, Minnesota","14475","4608","2257","999","27","045"
"Goodhue County, Minnesota","32923","10588","5675","2946","27","049"
"Grant County, Minnesota","4242","1449","557","201","27","051"
"Houston County, Minnesota","13372","4741","2288","938","27","055"
"Hubbard County, Minnesota","15570","4588","2895","1524","27","057"
"Itasca County, Minnesota","32757","10095","5279","2792","27","061"
"Kanabec County, Minnesota","11564","4474","1086","609","27","065"
"Kandiyohi County, Minnesota","28863","7834","4919","2122","27","067"
"Koochiching County, Minnesota","9312","3336","982","420","27","071"
"Lac qui Parle County, Minnesota","4912","1858","689","235","27","073"
"Lake of the Woods County, Minnesota","2801","1000","514","84","27","077"
"Le Sueur County, Minnesota","19646","6932","3227","1266","27","079"
"Lyon County, Minnesota","16359","5079","3176","1137","27","083"
"McLeod County, Minnesota","24831","8406","2970","1326","27","085"
"Marshall County, Minnesota","6544","2492","906","304","27","089"
"Martin County, Minnesota","14057","5000","2202","848","27","091"
"Mille Lacs County, Minnesota","17934","6681","1936","930","27","095"
"Morrison County, Minnesota","22986","8891","2933","1041","27","097"
"Murray County, Minnesota","5923","2116","910","320","27","101"
"Nicollet County, Minnesota","22231","5466","5092","2554","27","103"
"Norman County, Minnesota","4475","1591","760","198","27","107"
"Olmsted County, Minnesota","105835","20368","28239","21174","27","109"
"Pennington County, Minnesota","9678","3050","1416","495","27","113"
"Pine County, Minnesota","21500","8844","2268","1019","27","115"
"Polk County, Minnesota","21109","6445","4029","1727","27","119"
"Pope County, Minnesota","8158","2516","1161","661","27","121"
"Red Lake County, Minnesota","2806","1020","394","84","27","125"
"Redwood County, Minnesota","10298","3857","1495","477","27","127"
"Rice County, Minnesota","42383","13410","7520","4559","27","131"
"Rock County, Minnesota","6462","2020","1095","443","27","133"
"St. Louis County, Minnesota","136467","35384","26729","14413","27","137"
"Scott County, Minnesota","95307","20119","27613","11347","27","139"
"Sibley County, Minnesota","10352","4036","1303","407","27","143"
"Stearns County, Minnesota","99167","27978","18783","8796","27","145"
"Stevens County, Minnesota","5884","1890","1206","549","27","149"
"Swift County, Minnesota","6547","2113","1141","267","27","151"
"Traverse County, Minnesota","2419","929","278","103","27","155"
"Wabasha County, Minnesota","15522","5101","2558","1227","27","157"
"Waseca County, Minnesota","12923","4658","2103","747","27","161"
"Washington County, Minnesota","175239","35713","51366","28576","27","163"
"Wilkin County, Minnesota","4455","1406","828","226","27","167"
"Winona County, Minnesota","31568","8482","6487","3381","27","169"
"Wright County, Minnesota","88252","25244","18987","8415","27","171"
