"NAME","UNEMPLOYED",">=16_WALKED","MEDIAN_INCOME_BENEFITS","MEAN_INCOME_BENEFITS","state","county"
"Autauga County, Alabama","2.9","0.7","57982","75614","01","001"
"Baldwin County, Alabama","3.9","1.2","61756","83626","01","003"
"Barbour County, Alabama","6.9","2.3","34990","51557","01","005"
"Bibb County, Alabama","7.4","0.3","51721","61655","01","007"
"Blount County, Alabama","5.2","0.5","48922","66360","01","009"
"Bullock County, Alabama","3.4","5.4","33866","50664","01","011"
"Butler County, Alabama","6.5","0.4","44850","62399","01","013"
"Calhoun County, Alabama","7.3","1.2","50128","65276","01","015"
"Lewis County, Kentucky","6.4","0.3","29844","45458","21","135"
"Lincoln County, Kentucky","7.4","2.0","42231","54509","21","137"
"Livingston County, Kentucky","5.8","1.8","52795","65901","21","139"
"Logan County, Kentucky","4.7","0.4","48912","62034","21","141"
"Lyon County, Kentucky","3.2","1.3","49286","66879","21","143"
"McCracken County, Kentucky","3.5","1.6","47011","69292","21","145"
"McCreary County, Kentucky","7.7","2.3","29499","43257","21","147"
"Madison County, Kentucky","6.5","4.2","51649","69354","21","151"
"Marion County, Kentucky","7.9","1.6","43587","57268","21","155"
"Marshall County, Kentucky","3.6","0.9","57348","72700","21","157"
"Mason County, Kentucky","4.2","1.6","46241","72846","21","161"
"Meade County, Kentucky","5.2","1.3","61500","76064","21","163"
"Mercer County, Kentucky","6.0","0.2","52312","66473","21","167"
"Metcalfe County, Kentucky","3.1","0.9","40391","48987","21","169"
"Montgomery County, Kentucky","5.3","0.2","46998","57260","21","173"
"Morgan County, Kentucky","5.4","0.3","37399","51491","21","175"
"Nelson County, Kentucky","3.3","1.1","63032","77856","21","179"
"Nicholas County, Kentucky","5.0","2.9","47665","61090","21","181"
"Oldham County, Kentucky","3.6","0.6","103761","135839","21","185"
"Owen County, Kentucky","3.9","2.7","50553","66447","21","187"
"Pendleton County, Kentucky","4.0","1.5","56000","66536","21","191"
"Pike County, Kentucky","8.0","1.8","34700","51462","21","195"
"Powell County, Kentucky","5.9","0.9","41071","53367","21","197"
"Robertson County, Kentucky","7.7","1.2","53074","60152","21","201"
"Rockcastle County, Kentucky","8.9","4.2","38744","54630","21","203"
