"NAME","TOTAL","OCCUPIED","VACANT","OWNER","OWNED_MORT","OWNED_FREE","RENTER","state","county"
"Autauga County, Alabama","23697","21559","2138","16088","9592","6496","4770","01","001"
"Baldwin County, Alabama","116747","84047","32700","64716","37858","26858","17016","01","003"
"Barbour County, Alabama","12057","9322","2735","5775","2588","3187","3198","01","005"
"Bibb County, Alabama","9237","7259","1978","5428","2071","3357","1550","01","007"
"Blount County, Alabama","24404","21205","3199","16132","8096","8036","3852","01","009"
"Bullock County, Alabama","4591","3429","1162","2531","1026","1505","757","01","011"
"Butler County, Alabama","10119","6649","3470","4872","1695","3177","1392","01","013"
"Calhoun County, Alabama","53722","44572","9150","31370","16904","14466","11756","01","015"
"Lewis County, Kentucky","6580","5226","1354","4012","1738","2274","658","21","135"
"Lincoln County, Kentucky","11055","9677","1378","7573","3763","3810","1707","21","137"
"Livingston County, Kentucky","4879","3803","1076","3218","1538","1680","308","21","139"
"Logan County, Kentucky","12361","10459","1902","7423","3843","3580","2629","21","141"
"Lyon County, Kentucky","4891","3266","1625","2732","1325","1407","458","21","143"
"McCracken County, Kentucky","32237","27787","4450","17930","9535","8395","9265","21","145"
"McCreary County, Kentucky","7542","6187","1355","4179","2021","2158","1640","21","147"
"Madison County, Kentucky","36978","33876","3102","20518","12554","7964","12424","21","151"
"Marion County, Kentucky","8336","7433","903","5446","2616","2830","1767","21","155"
"Marshall County, Kentucky","16229","13119","3110","10926","5446","5480","1988","21","157"
"Mason County, Kentucky","8168","6523","1645","4510","2327","2183","1805","21","161"
"Meade County, Kentucky","12530","10690","1840","7965","4982","2983","2482","21","163"
"Mercer County, Kentucky","10195","8718","1477","6394","3647","2747","2240","21","167"
"Metcalfe County, Kentucky","4753","4187","566","3278","1179","2099","725","21","169"
"Montgomery County, Kentucky","12088","10653","1435","7195","4355","2840","3213","21","173"
"Morgan County, Kentucky","6013","4796","1217","3677","1612","2065","695","21","175"
"Nelson County, Kentucky","19211","17991","1220","14043","8463","5580","3610","21","179"
"Nicholas County, Kentucky","3293","2714","579","1893","926","967","744","21","181"
"Oldham County, Kentucky","22225","21259","966","18376","13250","5126","2563","21","185"
"Owen County, Kentucky","5753","4246","1507","3431","1720","1711","732","21","187"
"Pendleton County, Kentucky","6381","5250","1131","3719","2128","1591","1405","21","191"
"Pike County, Kentucky","31045","25506","5539","18448","6337","12111","5014","21","195"
"Powell County, Kentucky","5677","4698","979","3292","1663","1629","1120","21","197"
"Robertson County, Kentucky","1106","859","247","624","317","307","209","21","201"
"Rockcastle County, Kentucky","7881","6609","1272","5059","2139","2920","1032","21","203"
"Russell County, Kentucky","10150","7122","3028","5345","2294","3051","1444","21","207"
"Scott County, Kentucky","22535","21186","1349","15326","11205","4121","5358","21","209"
"Simpson County, Kentucky","7927","7181","746","4599","2786","1813","2440","21","213"
"Spencer County, Kentucky","7368","6899","469","5994","4375","1619","835","21","215"
"Todd County, Kentucky","5356","4655","701","3124","1565","1559","1304","21","219"
"Trimble County, Kentucky","4007","3398","609","2641","1331","1310","661","21","223"
"Union County, Kentucky","6246","5176","1070","3683","1879","1804","1282","21","225"
"Washington County, Kentucky","5206","4702","504","3538","2059","1479","1082","21","229"
"Wayne County, Kentucky","10946","8298","2648","6133","2427","3706","1836","21","231"
"Whitley County, Kentucky","15490","12685","2805","8680","3803","4877","3223","21","235"
"Wolfe County, Kentucky","3731","2991","740","1879","643","1236","884","21","237"
"Androscoggin County, Maine","50053","45906","4147","29796","20061","9735","15494","23","001"
